sample,fastq_1,fastq_2
P17,/data/xrz/capint/data/17P/ML150013831_L01_26072600039_1.fq.gz,/data/xrz/capint/data/17P/ML150013831_L01_26072600039_2.fq.gz
T17,/data/xrz/capint/data/17T/ML150013831_L01_26072600038_1.fq.gz,/data/xrz/capint/data/17T/ML150013831_L01_26072600038_2.fq.gz
N18,/data/xrz/capint/data/18N/ML150013831_L01_26072600040_1.fq.gz,/data/xrz/capint/data/18N/ML150013831_L01_26072600040_2.fq.gz
P18,/data/xrz/capint/data/18P/ML150013831_L01_26072600042_1.fq.gz,/data/xrz/capint/data/18P/ML150013831_L01_26072600042_2.fq.gz
T18,/data/xrz/capint/data/18T/ML150013831_L01_26072600041_1.fq.gz,/data/xrz/capint/data/18T/ML150013831_L01_26072600041_2.fq.gz
N19,/data/xrz/capint/data/19N/ML150013831_L01_26072600043_1.fq.gz,/data/xrz/capint/data/19N/ML150013831_L01_26072600043_2.fq.gz
P19,/data/xrz/capint/data/19P/ML150013831_L01_26072600045_1.fq.gz,/data/xrz/capint/data/19P/ML150013831_L01_26072600045_2.fq.gz
T19,/data/xrz/capint/data/19T/ML150013831_L01_26072600044_1.fq.gz,/data/xrz/capint/data/19T/ML150013831_L01_26072600044_2.fq.gz
N1,/data/xrz/capint/data/1N/ML150013831_L01_26072600001_1.fq.gz,/data/xrz/capint/data/1N/ML150013831_L01_26072600001_2.fq.gz
T1,/data/xrz/capint/data/1T/ML150013831_L01_26072600002_1.fq.gz,/data/xrz/capint/data/1T/ML150013831_L01_26072600002_2.fq.gz
N20,/data/xrz/capint/data/20N/ML150013831_L01_26072600046_1.fq.gz,/data/xrz/capint/data/20N/ML150013831_L01_26072600046_2.fq.gz
